"pm_property_id","name","href"
"19597077","DHS Concessions","https://portfoliomanager.energystar.gov/wstest/property/19597077"
"19597078","Oaklawn Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597078"
"19597079","Operations","https://portfoliomanager.energystar.gov/wstest/property/19597079"
"19597080","Panther Stadium","https://portfoliomanager.energystar.gov/wstest/property/19597080"
"19597081","Park Hill Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597081"
"19597082","Soccer Stadium","https://portfoliomanager.energystar.gov/wstest/property/19597082"
"19597083","Stone Creek Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597083"
"19597084","Tanglewood Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597084"
"19597085","Transportation Supply","https://portfoliomanager.energystar.gov/wstest/property/19597085"
"19597086","Wineteer Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597086"
"19597162","Administrative Center","https://portfoliomanager.energystar.gov/wstest/property/19597162"
"19597163","Central Kitchen","https://portfoliomanager.energystar.gov/wstest/property/19597163"
"19597164","Derby High School","https://portfoliomanager.energystar.gov/wstest/property/19597164"
"19597165","Derby Hills Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597165"
"19597166","Derby Middle School","https://portfoliomanager.energystar.gov/wstest/property/19597166"
"19597167","Derby North Middle School","https://portfoliomanager.energystar.gov/wstest/property/19597167"
"19597283","Baseball Stadium","https://portfoliomanager.energystar.gov/wstest/property/19597283"
"19597284","Carlton Learning Center","https://portfoliomanager.energystar.gov/wstest/property/19597284"
"19597690","El Paso Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597690"
"19597691","ESC","https://portfoliomanager.energystar.gov/wstest/property/19597691"
"19597692","GraceMed","https://portfoliomanager.energystar.gov/wstest/property/19597692"
"19597693","Swaney Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597693"
"19597694","TWE Concessions","https://portfoliomanager.energystar.gov/wstest/property/19597694"
"19597782","Cooper Elementary","https://portfoliomanager.energystar.gov/wstest/property/19597782"
